month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
11,26364.53807532263,3741.6835527892013,3034.316736142732,0.1182638844146412,0.51446762987799,27330.61956440316,1.036643216972756,27330.61956440316,0.0,13665.30978220158,13665.30978220158,0.4868737333015977,26364.53807532263,0.4868737333015977,0.4868737333015977,7.097984844412709,6.611111111111112,1.280207066634931,0.3229571964328945,829.1087026971309,55055.07056720156,-39618.0638263383,274361.9421809331,nan,0.0,True
12,26920.861910900436,3674.7839712801733,3118.4601357023685,0.11828237334532579,0.5143135554556184,27864.58517615349,1.0350554625025188,27864.58517615349,0.0,13932.292588076745,13932.292588076745,0.4861357618257907,26920.861910900436,0.4861357618257907,0.4861357618257907,7.0972468729369025,6.611111111111112,1.279469095159124,0.3228724555005901,845.0988740142493,54995.92524619626,-39254.550737707,235107.39144322608,nan,0.0,True
13,27341.844489596133,3605.825536873759,3184.8429581780615,0.11830390010241452,0.5141341658132123,28251.81153771752,1.0332811141716367,28251.81153771752,0.0,14125.90576885876,14125.90576885876,0.4853113971706179,27341.844489596133,0.4853113971706179,0.4853113971706179,7.09642250828173,6.6111111111111125,1.2786447305039514,0.32277379119726674,856.5970183911013,54917.19700729445,-38953.91928873483,196153.47215449123,nan,0.0,True
14,27641.76200294642,3535.222080934062,3235.304567583776,0.11832795584858383,0.5139337012618014,28508.347024721817,1.0313505709832471,28508.347024721817,0.0,14254.173512360909,14254.173512360909,0.48441469391544745,27641.76200294642,0.48441469391544745,0.48441469391544745,7.0955258050265595,6.6111111111111125,1.277748027248781,0.32266353569399076,864.0978324199732,54821.31220972249,-38709.61229076358,157443.85986372764,nan,0.0,True
15,27833.590521622536,3463.345299630444,3271.5167809543254,0.11835413316291503,0.513715556975708,28648.79597814539,1.0292885481623206,28648.79597814539,0.0,14324.397989072695,14324.397989072695,0.4834570808429192,27833.590521622536,0.4834570808429192,0.4834570808429192,7.094568191954032,6.6111111111111125,1.2767904141762527,0.32254355633663945,868.0515661119189,54710.46749160843,-38515.652219482705,118928.20764424495,nan,0.0,True
16,27929.120043326337,3390.5284428967234,3294.998921192923,0.11838210088753018,0.5134824926039152,28686.429280931523,1.0271153991400508,28686.429280931523,0.0,14343.214640465761,14343.214640465761,0.4824479712488902,27929.120043326337,0.4824479712488902,0.4824479712488902,7.093559082360001,6.611111111111112,1.2757813045822235,0.3224153709321534,868.8673367962529,54586.65016958362,-38366.59866220633,80561.60898203863,nan,0.0,True
17,27939.058346736383,3317.0697129700898,3307.131409560044,0.11841158634535223,0.5132367804553981,28633.29009814241,1.024848072644049,28633.29009814241,0.0,14316.645049071205,14316.645049071205,0.4813952049215836,27939.058346736383,0.4813952049215836,0.4813952049215836,7.092506316032696,6.6111111111111125,1.2747285382549172,0.32228022925046895,866.9163309279629,54451.65680734388,-38257.507037371994,42304.10194466663,nan,0.0,True
18,27873.125659526275,3243.2353886909596,3309.1680759010687,0.11844236247452553,0.5129803127122872,28500.29383690688,1.0225008197875454,28500.29383690688,0.0,14250.14691845344,14250.14691845344,0.4803053747488176,27873.125659526275,0.4803053747488176,0.4803053747488176,7.091416485859928,6.611111111111111,1.2736387080821507,0.32213917199175796,862.5348531337877,54307.11013449813,-38183.88917172453,4120.2127729421045,nan,0.0,True
19,27740.14102048018,3169.2626933376537,3302.247332383748,0.11847423832982039,0.51271468058483,28297.32188861227,1.020085725869985,28297.32188861227,0.0,14148.660944306135,14148.660944306135,0.47918407240693645,27740.14102048018,0.47918407240693645,0.47918407240693645,7.090295183518047,6.611111111111111,1.2725174057402697,0.3219930743216565,856.0272009697328,54154.47447399633,-38141.67605311393,-34021.463280171825,nan,0.0,True
20,27548.10111173442,3095.362424091556,3287.402332837316,0.11850705194361738,0.5124412338031885,28033.309032514793,1.0176131167376068,28033.309032514793,0.0,14016.654516257397,14016.654516257397,0.47803607612790416,27548.10111173442,0.47803607612790416,0.47803607612790416,7.089147187239016,6.611111111111112,1.2713694094612376,0.3218426785917537,847.6683560291203,53995.06981771279,-38127.18290674684,-72148.64618691866,nan,0.0,True
21,27304.25225077237,3021.721360854707,3265.570221816758,0.1185406648745656,0.5121611260452866,27716.3245780125,1.0150918737292458,27716.3245780125,0.0,13858.16228900625,13858.16228900625,0.47686549624638547,27304.25225077237,0.47686549624638547,0.47686549624638547,7.087976607357497,6.611111111111112,1.2701988295797189,0.32168861932490767,837.7064898051958,53830.084674211605,-38137.07663395345,-110285.72282087212,nan,0.0,True
22,27015.15615870772,2948.5044713953107,3237.600563459961,0.11857495798546827,0.5118753501210976,27353.647445074166,1.0125296809086681,27353.647445074166,0.0,13676.823722537083,13676.823722537083,0.4756758894674121,27015.15615870772,0.4756758894674121,0.4756758894674121,7.086787000578525,6.6111111111111125,1.2690092228007455,0.3215314425666037,826.3652876427514,53660.58779956779,-38168.345583165545,-148454.06840403768,nan,0.0,True
23,26686.750058648366,2875.8569288620806,3204.2630289214376,0.11860982813118467,0.511584765573461,26951.83545535386,1.009933221397245,26951.83545535386,0.0,13475.91772767693,13475.91772767693,0.4744703496177946,26686.750058648366,0.4744703496177946,0.4744703496177946,7.085581460728905,6.611111111111111,1.2678036829511279,0.32137162106540357,813.8460971873392,53487.53891082709,-38218.27157920899,-186672.33998324667,nan,0.0,True
24,26324.40160343519,2803.905956693131,3166.2544119063064,0.11864518553019607,0.5112901205816993,26516.789147260926,1.007308334932887,26516.789147260926,0.0,13258.394573630463,13258.394573630463,0.4732515804811301,26324.40160343519,0.4732515804811301,0.4732515804811301,7.084362691592242,6.611111111111112,1.2665849138144634,0.32120956631993464,800.3299095847633,53311.79847188061,-38284.40411049931,-224956.74409374598,nan,0.0,True
