month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,pool_usd,paid_out_usd,payout_per_user_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
11,162460.55421009535,34011.62635120421,27126.092814665746,0.17436020703853503,0.5234991373394373,181706.83664937675,1.1184674183395433,90853.41832468838,90853.41832468838,0.5248138430728231,6.611111111111112,1.3181471764061565,0.32792452553669055,5591.870521947523,114940.09313321336,-13169.325565606588,313975.85082485114,nan,0.0,True
12,168421.2454300944,34289.130455726765,28328.439235727703,0.17437118427586507,0.5234533988505622,188252.96552926762,1.1177507032947613,94126.48276463381,94126.48276463381,0.5244800182043369,6.611111111111112,1.3178133515376702,0.3278993693678092,5792.904895460815,115606.04561905922,-10161.655161523071,303814.19566332805,nan,0.0,True
13,173550.4471911989,34500.236276093085,29371.034514988565,0.17439031780096548,0.5233736758293105,193818.12620368804,1.1167826377892327,96909.06310184402,96909.06310184402,0.5240300873584919,6.611111111111112,1.3173634206918252,0.32785552170612076,5963.407099134725,116126.39972164162,-7554.746568549046,296259.449094779,nan,0.0,True
14,177932.31051668822,34651.85733050701,30269.9940050177,0.17441611067512566,0.5232662055203097,198502.65567416925,1.1156076999042384,99251.32783708462,99251.32783708462,0.5234845766509324,6.611111111111112,1.3168179099842656,0.3277964130361703,6106.507593733841,116516.26192795743,-5307.882824151355,290951.5662706276,nan,0.0,True
15,181642.71719214277,34750.23382336424,31039.827147909702,0.17444738989661177,0.5231358754307843,202397.46408100417,1.114261376452032,101198.73204050209,101198.73204050209,0.5228598663641211,6.611111111111112,1.3161931996974543,0.3277247314869314,6225.045203402478,116789.25066918971,-3384.1280333756295,287567.43823725195,nan,0.0,True
16,184750.108456304,34800.99743921131,31693.606175050092,0.17448321994393204,0.5229865835669498,205584.82211582293,1.1127724028613852,102792.41105791146,102792.41105791146,0.5221692228768958,6.6111111111111125,1.3155025562102294,0.3276426209618224,6321.590498860984,116957.64548099271,-1750.0271348176175,285817.41110243433,nan,0.0,True
17,187316.22413482293,34809.22993875439,32243.11426023548,0.17452284347568559,0.5228214855179767,208139.1091369814,1.111164343069242,104069.5545684907,104069.5545684907,0.5214235268046974,6.611111111111111,1.3147568601380306,0.32755181703488717,6398.468352372147,117032.52004353752,-375.31521318671,285442.0958892476,nan,0.0,True
18,189396.7637966913,34779.516122704445,32698.97646083611,0.17456563953211368,0.522643168616193,210127.51433532214,1.1094567305325467,105063.75716766107,105063.75716766107,0.5206317990300194,6.611111111111111,1.3139651323633528,0.32745374273890615,6457.7793017260265,117023.86118568113,767.3585091175919,286209.4543983652,nan,0.0,True
19,191041.97948603577,34715.99169649943,33070.776007154964,0.17461109336934036,0.5224537776277485,211610.68795444525,1.1076659094705044,105805.34397722263,105805.34397722263,0.5198015886305452,6.611111111111111,1.3131349219638784,0.3273495776952617,6501.419545257217,116940.67557274038,1702.689425943856,287912.1438243091,nan,0.0,True
20,192297.20804826354,34622.38652668134,33367.157964453574,0.17465877423497148,0.5222551073542855,212643.34231074853,1.1058056664940161,106321.67115537426,106321.67115537426,0.5189392642080194,6.6111111111111125,1.312272597541353,0.327240309044857,6531.099501551958,116791.08552128883,2452.958014928736,290365.10183923785,nan,0.0,True
21,193203.34987631,34502.063735623575,33595.92190757711,0.1747083186935562,0.5220486721101825,213274.80396067543,1.1038877125951247,106637.40198033772,106637.40198033772,0.5180502362371298,6.611111111111112,1.311383569570463,0.32712676966060034,6548.360935110482,116582.41516961118,3038.2519224145653,293403.3537616524,nan,0.0,True
22,193797.29995215096,34358.05503881659,33764.104962975645,0.17475941791170616,0.5218357587012243,213549.51927280703,1.101922056321388,106774.75963640351,106774.75963640351,0.5171391292419325,6.611111111111112,1.310472462575266,0.3270096672856734,6554.592689710553,116321.26806134381,3476.67013184425,296880.02389349666,nan,0.0,True
23,194112.3362861481,34193.092689432146,33878.056355435016,0.17481180782084987,0.5216174674131255,213507.51614570868,1.0999172965028325,106753.75807285434,106753.75807285434,0.5162099168722684,6.611111111111111,1.3095432502056017,0.32688960707721904,6551.045094700035,116013.59706076371,3784.5100105197635,300664.5339040164,nan,0.0,True
24,194178.4702181704,34009.63835885072,33943.50442682842,0.17486526140611208,0.5213947441411997,213184.82482997427,1.0978808546099326,106592.41241498713,106592.41241498713,0.5152660291350768,6.6111111111111125,1.3085993624684102,0.32676710927765984,6538.8431221467035,115664.76740323516,3976.4382104130345,304640.97211442946,nan,0.0,True
