month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
11,15669.324286044783,3280.4845698942822,3419.285236552671,0.21629922883219477,0.3487532131991884,15909.668404408938,1.0153385119853706,15909.668404408938,0.0,7954.834202204469,7954.834202204469,0.48517515154318025,15669.324286044783,0.48517515154318025,0.48517515154318025,0.48517515154318025,0.0,0.48517515154318025,0.23181426725955365,352.46741714345717,53129.93208513154,-45175.097882927075,238251.38843471088,nan,0.0,,,,,,,True
12,15466.89139723865,3188.637369283317,3391.0702580894495,0.21641458152152496,0.348272576993646,15657.999391188867,1.0123559407667617,15657.999391188867,0.0,7828.999695594433,7828.999695594433,0.48377438653984917,15466.89139723865,0.48377438653984917,0.48377438653984917,0.48377438653984917,0.0,0.48377438653984917,0.23154991734650532,346.5137982168344,52934.21055373714,-45105.2108581427,193146.17757656818,nan,0.0,,,,,,,True
13,15215.867158283134,3098.1041912286164,3349.128430184133,0.21653532983247445,0.3477694590313564,15357.01576158029,1.0092764087533663,15357.01576158029,0.0,7678.507880790145,7678.507880790145,0.48232828304463105,15215.867158283134,0.48232828304463105,0.48232828304463105,0.48232828304463105,0.0,0.48232828304463105,0.23127320246724606,339.4647993002509,52734.52108765812,-45056.013206867974,148090.16436970021,nan,0.0,,,,,,,True
14,14928.325100605296,3009.130306491259,3296.672364169098,0.2166601699315226,0.3472492919519891,15019.770394388759,1.006125623147084,15019.770394388759,0.0,7509.8851971943795,7509.8851971943795,0.4808488349710152,14928.325100605296,0.4808488349710152,0.4808488349710152,0.4808488349710152,0.0,0.4808488349710152,0.23098711057359403,331.6174644997591,52532.89356730109,-45023.00837010671,103067.1559995935,nan,0.0,,,,,,,True
15,14613.940877193521,2921.8987492279066,3236.282972639679,0.21678808244258146,0.34671632315591056,14656.66972861714,1.0029238418153381,14656.66972861714,0.0,7328.33486430857,7328.33486430857,0.47934549702403034,14613.940877193521,0.47934549702403034,0.47934549702403034,0.47934549702403034,0.0,0.47934549702403034,0.23069397773575082,323.20811105044777,52330.93055561121,-45002.59569130264,58064.56030829086,nan,0.0,,,,,,,True
16,14280.452875952747,2836.5426576211817,3170.0306588619555,0.21691826219230825,0.34617390753204896,14275.985227941317,0.999687149416742,14275.985227941317,0.0,7137.992613970659,7137.992613970659,0.4778257786199271,14280.452875952747,0.4778257786199271,0.4778257786199271,0.4778257786199271,0.0,0.4778257786199271,0.23039564914262695,314.42409947336,52129.890079456374,-44991.897465485716,13072.66284280514,nan,0.0,,,,,,,True
17,13934.034870036014,2753.1552624544115,3099.5732683711453,0.21705006804025123,0.3456247164989532,13884.267940512478,0.9964283906285785,13884.267940512478,0.0,6942.133970256239,6942.133970256239,0.4762956784164957,13934.034870036014,0.4762956784164957,0.4762956784164957,0.4762956784164957,0.0,0.4762956784164957,0.23009359407442428,305.4133787533283,51930.75258153782,-44988.61861128158,-31915.955768476437,nan,0.0,,,,,,,True
18,13579.59753152843,2671.79796484882,3026.2353033564023,0.21718298623351878,0.3450708906936717,13486.684103924774,0.9931578658801975,13486.684103924774,0.0,6743.342051962387,6743.342051962387,0.4747600083874021,13579.59753152843,0.4747600083874021,0.4747600083874021,0.4747600083874021,0.0,0.4747600083874021,0.22978898988151947,296.2922139964039,51734.27507145851,-44990.93301949612,-76906.88878797257,nan,0.0,,,,,,,True
19,13221.032387573987,2592.5068632385473,2951.0720071929923,0.21731660311296716,0.3445141536959701,13087.286555873274,0.9898838587048303,13087.286555873274,0.0,6543.643277936637,6543.643277936637,0.47322263954697635,13221.032387573987,0.47322263954697635,0.47322263954697635,0.47322263954697635,0.0,0.47322263954697635,0.2294827845327836,287.1514339528121,51541.03492007321,-44997.39164213657,-121904.28043010914,nan,0.0,,,,,,,True
20,12861.409190854276,2515.2980228440956,2874.9212195638065,0.21745058443891646,0.3439558981711814,12689.234036001035,0.9866130412073605,12689.234036001035,0.0,6344.617018000517,6344.617018000517,0.4716866909381045,12861.409190854276,0.4716866909381045,0.4716866909381045,0.4716866909381045,0.0,0.4716866909381045,0.22917574399414978,278.06147596554,51351.46527195437,-45006.84825395385,-166911.12868406298,nan,0.0,,,,,,,True
21,12503.135577500912,2440.171726146174,2798.4453394995385,0.21758465950134825,0.34339725207771554,12294.968243394496,0.983350789662634,12294.968243394496,0.0,6147.484121697248,6147.484121697248,0.47015467677113165,12503.135577500912,0.47015467677113165,0.47015467677113165,0.47015467677113165,0.0,0.47015467677113165,0.22886848864274356,269.0764556316699,51165.88367302274,-45018.39955132549,-211929.52823538845,nan,0.0,,,,,,,True
22,12148.086192636143,2367.1158981217236,2722.165282986492,0.21771860875322843,0.3428391301948815,11906.35668261991,0.980101432753847,11906.35668261991,0.0,5953.178341309955,5953.178341309955,0.4686286221858292,12148.086192636143,0.4686286221858292,0.4686286221858292,0.4686286221858292,0.0,0.4686286221858292,0.22856152160718485,260.2374466601832,50984.51520567491,-45031.33686436495,-256960.8650997534,nan,0.0,,,,,,,True
23,11797.707096318954,2296.108863526015,2646.4879598432026,0.2178522540815882,0.3422822746600491,11524.807828012403,0.9768684485825471,11524.807828012403,0.0,5762.403914006201,5762.403914006201,0.46711015514397797,11797.707096318954,0.46711015514397797,0.46711015514397797,0.46711015514397797,0.0,0.46711015514397797,0.22825525106302705,251.57512190144462,50807.5111776078,-45045.107263601596,-302005.972363355,nan,0.0,,,,,,,True
24,11453.100156991846,2227.1215638080607,2571.728503135169,0.21798545108291284,0.3417272871545298,11151.36390653902,0.973654622214351,11151.36390653902,0.0,5575.68195326951,5575.68195326951,0.4656005799292917,11453.100156991846,0.4656005799292917,0.4656005799292917,0.4656005799292917,0.0,0.4656005799292917,0.22795000793499143,243.11187818584403,50634.96421152081,-45059.2822582513,-347065.2546216063,nan,0.0,,,,,,,True
