month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,buyback_usd,sell_pressure_usd,buyback_coverage,unlock_tokens,held_tokens,unlock_sell_usd,invariant_ok
11,94010.51669716524,12476.361807507827,5204.307758914303,0.06,1.0,1353054.7341667614,14.392589060278626,102714.86209446371,1250339.8720722976,926595.3414978401,926595.3414978401,8.816005840911728,32903.68084400783,25.188588116890653,31.98950690845113,38.60061801956224,6.611111111111112,9.609339174245061,0.5900000000000001,97798.07718850183,110758.52505596518,322018.37433500565,2374300.2472412093,nan,0.0,,,,,,,True
12,101128.45581852204,12758.57012318671,5640.631001829914,0.06,1.0,1455593.9689954915,14.393515229853774,110585.50660914856,1345008.462386343,996798.6769750143,996798.6769750143,8.816420049129595,35394.95953648271,25.1897715689417,31.99100989255596,38.60212100366707,6.611111111111112,9.609753382462928,0.5900000000000001,105207.73155908019,111551.38777730466,354039.73647417733,2728339.9837153866,nan,0.0,,,,,,,True
13,108094.63510578198,13033.886636371266,6067.707349111322,0.06,1.0,1555935.7967508142,14.394200001028425,118277.14984391391,1437658.6469069002,1065499.627756787,1065499.627756787,8.816726297418795,37833.12228702369,25.1906465640537,31.9921211363482,38.60323224745931,6.6111111111111125,9.610059630752128,0.5900000000000001,112458.81580975023,112321.81739171174,385378.3110814239,3113718.2947968105,nan,0.0,,,,,,,True
14,114911.37796171487,13302.420962279812,6485.678106346919,0.06,1.0,1654112.612131286,14.394680852947287,125791.28524047835,1528321.3268908076,1132720.5714438045,1132720.5714438045,8.816941347471955,40218.9822866002,25.191260992777014,31.992901460826808,38.60401257193792,6.611111111111112,9.610274680805288,0.5900000000000001,119553.69179818325,113070.18327505294,416043.9020114556,3529762.196808266,nan,0.0,,,,,,,True
15,121580.97649701852,13564.281213006547,6894.682677702892,0.06,1.0,1750156.682553599,14.394987875397737,133129.69514325258,1617026.9874103463,1198483.7387588685,1198483.7387588685,8.817078656260167,42553.34177395648,25.19165330360048,31.99339969557261,38.60451080668372,6.6111111111111125,9.6104119895935,0.5900000000000001,126494.70587973739,113796.84965898815,446046.3357563419,3975808.532564608,nan,0.0,,,,,,,True
16,128105.69192381992,13819.574016622522,7294.858589821111,0.06,1.0,1844100.0851135787,14.395145581901248,140294.38252677396,1703805.7025868047,1262811.1830741502,1262811.1830741502,8.8171491868968,44836.99217333697,25.19185481970515,31.99365562102554,38.60476673213665,6.6111111111111125,9.610482520230134,0.5900000000000001,133284.18569118925,114502.17569691717,475395.428839792,4451203.9614044,nan,0.0,,,,,,,True
17,134487.75494443558,14068.404536044876,7686.341515429195,0.06,1.0,1935974.6598549418,14.395174197493304,147287.51909394868,1788687.1407609931,1325724.7580796694,1325724.7580796694,8.817161984567667,47070.714230552454,25.19189138447905,31.99370205828839,38.604813169399506,6.611111111111112,9.610495317901,0.5900000000000001,139924.4377937396,115186.51552912168,504100.96337841667,4955304.924782816,nan,0.0,,,,,,,True
18,140729.3661354466,14310.87648767712,8069.265296666134,0.06,1.0,2025811.9747849668,14.395090594206193,154111.4051835271,1871700.5696014396,1387246.1013127712,1387246.1013127712,8.81712459490438,49255.2781474063,25.19178455686966,31.99356638722447,38.60467749833558,6.6111111111111125,9.610457928237713,0.5900000000000001,146417.74593462143,115850.21834711243,532172.6685293852,5487477.593312202,nan,0.0,,,,,,,True
19,146832.6963271429,14547.092159823118,8443.761968126795,0.06,1.0,2113643.2995265415,14.394908984149886,160768.43837554075,1952874.861151001,1447396.621993471,1447396.621993471,8.817043373948966,51391.44371450002,25.191552496997048,31.99327167118625,38.604382782297364,6.611111111111112,9.610376707282299,0.5900000000000001,152766.3697631748,116493.62845719044,559620.206269064,6047097.799581266,nan,0.0,,,,,,,True
20,152799.88697839173,14777.152430877424,8809.961779628575,0.06,1.0,2199499.585433427,14.394641442008854,167261.08862081674,2032238.49681261,1506197.4920792354,1506197.4920792354,8.816923721828648,53479.96044243711,25.19121063379614,31.9928375049211,38.60394861603221,6.6111111111111125,9.61025705516198,0.5900000000000001,158972.54388671694,117117.08534323219,586453.1604159074,6633550.959997173,nan,0.0,,,,,,,True
21,158633.05054698288,15001.156787294663,9167.993218703503,0.06,1.0,2283411.4506179206,14.394298305078834,173591.8783430487,2109819.572274872,1563669.6397639345,1563669.6397639345,8.816770261663164,55521.567691444005,25.19077217618047,31.9922806637492,38.60339177486031,6.6111111111111125,9.610103594996497,0.5900000000000001,165038.47718438646,117720.92372870738,612681.0281220361,7246231.988119209,nan,0.0,,,,,,,True
22,164334.27085550438,15219.20334134047,9517.983032818973,0.06,1.0,2365409.1687632473,14.393888483815413,179763.36638503912,2185645.8023782084,1619833.7448572651,1619833.7448572651,8.816586978450541,57516.99479942653,25.19024850985869,31.991615607520536,38.60272671863165,6.611111111111112,9.609920311783874,0.5900000000000001,170966.35231946083,118305.47363793873,638313.2132695334,7884545.201388743,nan,0.0,,,,,,,True
23,169905.60345280074,15431.388848626633,9860.056251330263,0.06,1.0,2445522.660886797,14.393419705937808,185778.13496454738,2259744.5259222495,1674710.2356278484,1674710.2356278484,8.816377328236943,59466.96120848026,25.18964950924841,31.990854876745484,38.601965987856595,6.6111111111111125,9.609710661570276,0.5900000000000001,176758.32540615927,118871.06045661261,663359.0213543645,8547904.222743107,nan,0.0,,,,,,,True
24,175349.07597106564,15637.808725432937,10194.336207168044,0.06,1.0,2523781.4894282683,14.392898710482612,191638.7790130953,2332142.710415173,1728319.2867971687,1728319.2867971687,8.816144324902778,61372.17658987297,25.188983785436513,31.99000940750437,38.60112051861548,6.611111111111113,9.609477658236111,0.5900000000000001,182416.52579791215,119418.00499154921,687827.6555448062,9235731.878287913,nan,0.0,,,,,,,True
