month,mau,joiners,leavers,churn_rate,satisfaction,revenue_usd,revenue_per_user_usd,consumer_revenue_usd,payer_revenue_usd,pool_usd,paid_out_usd,payout_per_user_usd,earners,payout_per_earner_usd,payout_per_earner_face_usd,earner_upside_face_usd,stake_bonus_per_winner_usd,total_user_upside_usd,cheat_inflation,fraud_leak_usd,costs_usd,net_usd,treasury_usd,token_price_usd,entry_cost_usd,invariant_ok
14,142863.75988533566,20385.281914274587,13886.589694836981,0.10183392222456775,0.6513839814619354,157865.9046085524,1.1050101490766984,157865.9046085524,0.0,78932.9523042762,78932.9523042762,0.5117435551116812,142863.75988533566,0.5117435551116812,0.5117435551116812,7.122854666222793,6.611111111111112,1.3050768884450146,0.3982611898040645,5823.343923932931,91420.30049751767,-2886.903528946903,338361.5503303616,nan,0.0,True
15,148950.42240995695,20635.594035865895,14548.931511244604,0.10183780353339271,0.6513516372217274,164539.24490373032,1.1046577931203725,164539.24490373032,0.0,82269.62245186516,82269.62245186516,0.5115820606680109,148950.42240995695,0.5115820606680109,0.5115820606680109,7.122693171779122,6.611111111111112,1.3049153940013443,0.39824340047195006,6069.2584180087,92205.32739617713,73.76344163714384,338435.31377199874,nan,0.0,True
16,154641.50185245698,20861.082062541675,15170.00262004165,0.10184598589649635,0.6512834508625304,170746.46330810437,1.1041438505364045,170746.46330810437,0.0,85373.23165405219,85373.23165405219,0.511347599278642,154641.50185245698,0.511347599278642,0.511347599278642,7.122458710389754,6.611111111111112,1.3046809326119755,0.3982058979743917,6297.670932954643,92923.80792539137,2841.3326531459315,341276.6464251447,nan,0.0,True
17,159952.84713234258,21062.798772139897,15751.453492254297,0.10185786676646942,0.6511844436127548,176506.38346141315,1.1034901011507123,176506.38346141315,0.0,88253.19173070657,88253.19173070657,0.5110499921134516,159952.84713234258,0.5110499921134516,0.5110499921134516,7.122161103224564,6.6111111111111125,1.3043833254467851,0.3981514439870152,6509.290465198777,93578.52501189154,5423.498046108449,346700.14447125315,nan,0.0,True
18,164899.7417642989,21241.763034489646,16294.868402533308,0.10187295002664866,0.6510587497779278,181837.36870401673,1.1027146965695542,181837.36870401673,0.0,90918.68435200836,90918.68435200838,0.5106974258437196,164899.7417642989,0.5106974258437196,0.5106974258437196,7.121808536954832,6.6111111111111125,1.304030759177053,0.3980823123778603,6704.8107106868265,94172.16085772263,7827.786140846598,354527.93061209976,nan,0.0,True
19,169496.93202317483,21398.960574157943,16801.770315282007,0.10189082248107935,0.6509098126576721,186757.29901091248,1.1018329168658798,186757.29901091248,0.0,93378.64950545624,93378.64950545624,0.5102967931819946,169496.93202317483,0.5102967931819946,0.5102967931819946,7.1214079042931075,6.6111111111111125,1.303630126515328,0.3980003969617197,6884.90863984359,94707.30199421807,10061.541343195524,364589.4719552953,nan,0.0,True
20,173758.6518233499,21535.344776701742,17273.624976526648,0.10191113650461163,0.6507405291282364,191283.5566454393,1.1008577393884589,191283.5566454393,0.0,95641.77832271965,95641.77832271963,0.5098539489645117,173758.6518233499,0.5098539489645117,0.5098539489645117,7.120965060075624,6.611111111111112,1.303187282297845,0.3979072910205301,7050.24352383503,95186.44374479889,12131.915980449892,376721.3879357452,nan,0.0,True
21,177698.64494511814,21651.837513728417,17711.84439196019,0.10193359700998814,0.6505533582500989,195433.01824709034,1.099800273139108,195433.01824709034,0.0,97716.50912354517,97716.50912354517,0.5093739057727728,177698.64494511814,0.5093739057727728,0.5093739057727728,7.120485016883884,6.611111111111112,1.302707239106106,0.3978043470375544,7201.456297321158,95611.99421046823,14045.863853388873,390767.25178913405,nan,0.0,True
22,181330.18509329422,21749.329971511448,18117.789823335366,0.10195795150228078,0.6503504041476602,199222.05171939227,1.0986700952017046,199222.05171939227,0.0,99611.02585969614,99611.02585969614,0.5088609854848205,181330.18509329422,0.5088609854848205,0.5088609854848205,7.119972096595934,6.611111111111113,1.3021943188181542,0.3976927222812131,7339.169174977535,95986.2778653347,15810.13643263081,406577.3882217649,nan,0.0,True
23,184666.09416527252,21828.683473778943,18492.77440180065,0.10198398238156615,0.6501334801536154,202666.5167300692,1.0974755146371735,202666.5167300692,0.0,101333.2583650346,101333.2583650346,0.5083189381794274,184666.09416527252,0.5083189381794274,0.5083189381794274,7.11943004929054,6.6111111111111125,1.301652271512761,0.3975734140844885,7463.985461201126,96311.53883006268,17431.28106287823,424008.66928464314,nan,0.0,True
24,187718.7590253558,21890.730292987108,18838.065432903808,0.10201150090955034,0.6499041590870804,205781.76794718154,1.0962237818724654,205781.76794718154,0.0,102890.88397359077,102890.88397359078,0.507751036499999,187718.7590253558,0.507751036499999,0.507751036499999,7.118862147611112,6.6111111111111125,1.3010843698333323,0.39744728749789426,7576.48950797283,96589.94387667297,18915.640703421683,442924.3099880648,nan,0.0,True
